epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.91456,1.42846,4.18656,1.2369,0.06872,0.16319,0.05814,0.01443,1.16539,3.80073,1.16092,1.875e-05,1.875e-05,1.875e-05
2,11.7138,1.37431,3.89949,1.23188,0.05657,0.20271,0.09171,0.06725,0.86271,2.88641,1.02635,4.30281e-05,4.30281e-05,4.30281e-05
3,13.5466,1.00242,2.93531,1.01945,0.28025,0.48,0.17262,0.15091,0.65167,3.59126,0.88968,6.64812e-05,6.64812e-05,6.64812e-05
4,15.3333,0.809,1.88709,0.94079,0.50429,0.50976,0.34837,0.29727,0.58871,5.14195,0.86503,8.91094e-05,8.91094e-05,8.91094e-05
5,17.0825,0.84961,1.57923,0.92521,0.24384,0.89931,0.44371,0.38487,0.55253,4.925,0.85203,0.000110913,0.000110913,0.000110913
6,18.9764,0.80154,1.40508,0.90963,0.28216,0.76389,0.54502,0.45502,0.67173,3.92309,0.87542,0.000131891,0.000131891,0.000131891
7,21.6535,0.81647,1.26026,0.89879,0.31162,0.69797,0.65154,0.56467,0.63658,2.51402,0.86666,0.000152044,0.000152044,0.000152044
8,23.5405,0.69692,1.12519,0.87363,0.56798,0.76781,0.72509,0.63792,0.57226,1.59941,0.84121,0.000171372,0.000171372,0.000171372
9,25.276,0.72771,0.94417,0.89479,0.61994,0.83487,0.78812,0.71651,0.54854,1.23055,0.83362,0.000189875,0.000189875,0.000189875
10,27.2202,0.66705,0.91159,0.86616,0.82113,0.80885,0.88286,0.79574,0.55076,0.94566,0.82925,0.000207553,0.000207553,0.000207553
11,28.9549,0.63868,0.8075,0.85558,0.77403,0.85988,0.921,0.82889,0.55567,0.80525,0.82811,0.000224406,0.000224406,0.000224406
12,30.6737,0.6377,0.73657,0.85791,0.86527,0.94267,0.95826,0.87037,0.50463,0.67926,0.81397,0.000240434,0.000240434,0.000240434
13,32.6641,0.62752,0.70142,0.85463,0.91259,0.93008,0.96231,0.87568,0.54518,0.6247,0.81392,0.000255638,0.000255638,0.000255638
14,34.8388,0.62012,0.66686,0.85234,0.92505,0.91705,0.96168,0.873,0.51313,0.57322,0.80913,0.000270016,0.000270016,0.000270016
15,36.5208,0.61112,0.62141,0.84122,0.93,0.97222,0.96633,0.88813,0.48465,0.48773,0.80272,0.000283569,0.000283569,0.000283569
16,38.2081,0.62075,0.64139,0.8456,0.94975,0.95107,0.973,0.89111,0.51113,0.5048,0.80657,0.000296297,0.000296297,0.000296297
17,39.886,0.58836,0.5956,0.84874,0.9474,0.94449,0.97235,0.88099,0.52844,0.52368,0.80767,0.0003082,0.0003082,0.0003082
18,41.4959,0.60043,0.57734,0.85822,0.96293,0.94842,0.97781,0.88249,0.47778,0.42827,0.80089,0.000319278,0.000319278,0.000319278
19,43.0268,0.56998,0.52965,0.83583,0.9416,0.97222,0.98812,0.90329,0.46129,0.41927,0.79809,0.000329531,0.000329531,0.000329531
20,44.7075,0.56346,0.51401,0.84018,0.93731,0.98231,0.995,0.9102,0.45978,0.43896,0.79582,0.000338959,0.000338959,0.000338959
21,47.114,0.56951,0.50813,0.84354,0.92,0.98533,0.995,0.90405,0.46826,0.46786,0.79611,0.000347562,0.000347562,0.000347562
22,48.7248,0.55025,0.48932,0.84343,0.92774,0.986,0.995,0.89806,0.46885,0.48113,0.79349,0.000355341,0.000355341,0.000355341
23,50.2605,0.57291,0.50914,0.84167,0.94487,1,0.995,0.90474,0.47039,0.46241,0.79335,0.000362294,0.000362294,0.000362294
24,51.8283,0.56221,0.50338,0.84555,0.94488,1,0.995,0.91465,0.45772,0.41463,0.79197,0.000368422,0.000368422,0.000368422
25,53.5154,0.54924,0.47091,0.83248,0.92946,0.99289,0.995,0.91642,0.46291,0.43431,0.79215,0.000373725,0.000373725,0.000373725
26,55.1507,0.58482,0.50979,0.83322,0.94449,0.96562,0.995,0.91107,0.47349,0.45286,0.79243,0.000367187,0.000367187,0.000367187
27,56.8723,0.55956,0.45206,0.83868,0.93891,0.96622,0.995,0.91315,0.46012,0.44364,0.7913,0.000356875,0.000356875,0.000356875
28,58.9251,0.54308,0.43699,0.82929,0.93373,0.96693,0.995,0.90622,0.46249,0.43547,0.79134,0.000346563,0.000346563,0.000346563
29,60.7565,0.53455,0.44012,0.82854,0.94183,0.96762,0.995,0.90845,0.45869,0.43301,0.79033,0.00033625,0.00033625,0.00033625
30,62.3004,0.53759,0.44265,0.84146,0.95434,0.96843,0.995,0.91534,0.45462,0.41075,0.79134,0.000325938,0.000325938,0.000325938
31,63.8371,0.55079,0.4402,0.8311,0.95375,0.99844,0.995,0.91038,0.44144,0.36662,0.78959,0.000315625,0.000315625,0.000315625
32,65.5393,0.56728,0.4461,0.8407,0.96802,0.99879,0.995,0.9216,0.44599,0.3412,0.79069,0.000305312,0.000305312,0.000305312
33,67.3018,0.54722,0.42837,0.82931,0.96832,0.99691,0.995,0.91697,0.44615,0.33912,0.79075,0.000295,0.000295,0.000295
34,68.851,0.52804,0.41937,0.83008,0.96397,0.99477,0.995,0.92222,0.43578,0.35711,0.78992,0.000284688,0.000284688,0.000284688
35,70.8211,0.51313,0.40538,0.82037,0.95911,0.99521,0.995,0.9179,0.43511,0.35788,0.79062,0.000274375,0.000274375,0.000274375
36,72.8378,0.5409,0.41947,0.82482,0.96597,0.99391,0.995,0.91668,0.4365,0.34038,0.79171,0.000264062,0.000264062,0.000264062
37,74.4004,0.53517,0.4038,0.82797,0.97525,0.99523,0.995,0.91808,0.44501,0.32582,0.79402,0.00025375,0.00025375,0.00025375
38,75.9856,0.53077,0.39901,0.82947,0.97009,0.99632,0.995,0.92522,0.44207,0.32528,0.79389,0.000243437,0.000243437,0.000243437
39,77.6319,0.55236,0.39246,0.84274,0.96276,0.99747,0.995,0.92684,0.43504,0.32385,0.79368,0.000233125,0.000233125,0.000233125
40,79.273,0.52126,0.39429,0.83624,0.95322,0.99669,0.995,0.92148,0.44011,0.33447,0.79526,0.000222813,0.000222813,0.000222813
41,80.8626,0.50591,0.38101,0.84332,0.95334,0.99487,0.995,0.92189,0.42972,0.34139,0.79431,0.0002125,0.0002125,0.0002125
42,82.4295,0.5121,0.39264,0.82772,0.96329,0.99288,0.995,0.93296,0.42059,0.33018,0.79177,0.000202188,0.000202188,0.000202188
43,84.79,0.50652,0.39947,0.82703,0.97558,0.99217,0.995,0.92656,0.42558,0.31569,0.79158,0.000191875,0.000191875,0.000191875
44,86.495,0.52626,0.39209,0.8338,0.97777,0.99426,0.995,0.92826,0.43224,0.30501,0.793,0.000181563,0.000181563,0.000181563
45,88.0507,0.50553,0.38316,0.82026,0.97364,0.9968,0.995,0.92149,0.4275,0.29587,0.7929,0.00017125,0.00017125,0.00017125
46,89.6243,0.51982,0.38258,0.82419,0.96758,0.99923,0.995,0.93555,0.41453,0.28718,0.79086,0.000160938,0.000160938,0.000160938
